TIME_Year;FACT_INDICATOR_FINANCE_Key;UTILITY_Country;INDICATOR_Name;FACT_INDICATOR_FINANCE_Name_In_Document;CURRENCY_Name;INDICATOR_Theme;UTILITY_Name;FACT_INDICATOR_FINANCE_Holding_Company;FACT_INDICATOR_Value;FACT_INDICATOR_FINANCE_Order_Magnitude;FACT_INDICATOR_FINANCE_Mantainer;FACT_INDICATOR_FINANCE_Observations;FACT_INDICATOR_FINANCE_Document;FACT_INDICATOR_FINANCE_Link;FACT_USD_RATE;TIME_Key;FACT_INDICATOR_Value_USD;FACT_INDICATOR_Value_Local
2012;1008761;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;2211393;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;2211390000000
2013;1008762;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;2424549;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;2424550000000
2014;1008763;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;2496412;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;2496410000000
2015;1008764;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;2729865;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;2729870000000
2016;1008765;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;3280390;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;3280390000000
2017;1008766;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;3251480;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;3251480000000
2018;1008767;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;3432143;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;3432140000000
2019;1008768;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;ICE;EMPRESA;3313227;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;3313230000000
2012;1008782;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;2901297;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;2901300000000
2013;1008783;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;2935956;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;2935960000000
2014;1008784;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;3006160;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;3006160000000
2015;1008785;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;2807409;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;2807410000000
2016;1008786;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;2625599;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;2625600000000
2017;1008787;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;2509903;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;2509900000000
2018;1008788;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;2635366;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;2635370000000
2019;1008789;COSTA RICA;PATRIMONIO NETO;TOTAL PATRIMONIO;;CAPITAL PROPRIO;ICE;EMPRESA;2756846;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;2756850000000
2012;1008803;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;4212718;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;4212720000000
2013;1008804;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;4347260;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;4347260000000
2014;1008805;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;4402751;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;4402750000000
2015;1008806;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;4257566;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;4257570000000
2016;1008807;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;4802796;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;4802800000000
2017;1008808;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;4459386;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;4459390000000
2018;1008809;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;5023435;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;5023440000000
2019;1008810;COSTA RICA;PLANTAS Y EQUIPOS;TOTAL IMUEBILES MAQUINARIA Y EQUIPO;;ACTIVOS;ICE;EMPRESA;4949308;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;4949310000000
2010;1008843;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;16289.364;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;16289364000
2011;1008844;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;25347;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;25347000000
2012;1008845;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;14485.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;14485500000
2013;1008846;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;15481.8;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;15481800000
2014;1008847;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;17996.6;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;17996600000
2015;1008848;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;7430.4;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;7430400000
2016;1008849;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;7026.3;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;7026300000
2017;1008850;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;12829.3;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;12829300000
2018;1008851;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;18317.2;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;18317200000
2019;1008852;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES  (P�G.1);;ACTIVOS;JASEC;EMPRESA;17562.6;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;17562600000
2010;1008864;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;57750.636;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;57750636000
2011;1008865;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;69013;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;69013000000
2012;1008866;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;86887;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;86887000000
2013;1008867;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;93522;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;93522000000
2014;1008868;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;106957.9;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;106958000000
2015;1008869;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;113269.1;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;113269000000
2016;1008870;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;118204.8;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;118205000000
2017;1008871;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;114551.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;114552000000
2018;1008872;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;142853.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;142854000000
2019;1008873;COSTA RICA;ACTIVOS NO CORRIENTES;ACTIVOS NO CORRIENTES;;ACTIVOS;JASEC;EMPRESA;179944.6;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;179945000000
2010;1008885;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;74040;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;74040000000
2011;1008886;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;94360;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;94360000000
2012;1008887;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;101372.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;101373000000
2013;1008888;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;109003.8;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;109004000000
2014;1008889;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;124954.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;124955000000
2015;1008890;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;120699.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;120700000000
2016;1008891;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;125231.1;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;125231000000
2017;1008892;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;127380.8;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;127381000000
2018;1008893;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;161170.7;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;161171000000
2019;1008894;COSTA RICA;ACTIVOS TOTALES;TOTAL ACTIVOS (P�G.1);;ACTIVOS;JASEC;EMPRESA;197507.2;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;197507000000
2010;1008948;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;2443;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;2443000000
2011;1008949;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;675.9;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;675900000
2012;1008950;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;-1432;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;-1432000000
2013;1008951;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;-738.7;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;-738700000
2014;1008952;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;647.6;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;647600000
2015;1008953;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;490.3;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;490300000
2016;1008954;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;2247;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;2247000000
2017;1008955;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;2479;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;2479000000
2018;1008956;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;1965;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;1965000000
2019;1008957;COSTA RICA;EFECTIVO;EFECTIVO;;ACTIVOS;JASEC;EMPRESA;2748;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;2748000000
2010;1008969;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;3863.382;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;3863382000
2011;1008970;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;11245.453;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;11245453000
2012;1008971;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;12609.6;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;12609600000
2013;1008972;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;8185.7;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;8185700000
2014;1008973;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;14123.2;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;14123200000
2015;1008974;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;13892;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;13892000000
2016;1008975;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;18322.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;18322500000
2017;1008976;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;19720.7;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;19720700000
2018;1008977;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;20126.9;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;20126900000
2019;1008978;COSTA RICA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;32716.1;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;32716100000
2010;1008990;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;17183.618;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;17183618000
2011;1008991;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;24647.547;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;24647547000
2012;1008992;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;26779.4;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;26779400000
2013;1008993;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;35036.3;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;35036300000
2014;1008994;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;44269.8;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;44269800000
2015;1008995;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;40079;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;40079000000
2016;1008996;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;37812.5;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;37812500000
2017;1008997;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;37494.3;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;37494300000
2018;1008998;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;92446.1;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;92446100000
2019;1008999;COSTA RICA;PASIVOS NO CORRIENTES;PASIVOS NO CORRIENTES;;PASIVOS;JASEC;EMPRESA;103674.9;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;103675000000
2010;1009011;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;21047;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;21047000000
2011;1009012;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;35893;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;35893000000
2012;1009013;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;39389;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;39389000000
2013;1009014;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;43222;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;43222000000
2014;1009015;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;58393;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;58393000000
2015;1009016;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;53971;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;53971000000
2016;1009017;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;56135;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;56135000000
2017;1009018;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;57215;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;57215000000
2018;1009019;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;112573;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;112573000000
2019;1009020;COSTA RICA;PASIVOS TOTALES;TOTAL PASIVOS CORRIENTES (P�G.2);;PASIVOS;JASEC;EMPRESA;136391;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;136391000000
2010;1009032;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;44453;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;528;;44453000000
2011;1009033;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;53090;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;529;;53090000000
2012;1009034;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;53126;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;530;;53126000000
2013;1009035;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;56496;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;531;;56496000000
2014;1009036;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;57068;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;57068000000
2015;1009037;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;58893;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;58893000000
2016;1009038;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;78805;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;78805000000
2017;1009039;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;80812;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;535;;80812000000
2018;1009040;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;86202;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;536;;86202000000
2019;1009041;COSTA RICA;PLANTAS Y EQUIPOS;DRE/BALANCIO;;ACTIVOS;JASEC;EMPRESA;124736;1000000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;537;;124736000000
2016;1010151;ECUADOR;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES;;ACTIVOS;ERSA;EMPRESA;34191479;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;34191479
2017;1010152;ECUADOR;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES;;ACTIVOS;ERSA;EMPRESA;36878817;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;36878817
2018;1010153;ECUADOR;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES;;ACTIVOS;ERSA;EMPRESA;49014309;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;49014309
2020;1010155;ECUADOR;ACTIVOS CORRIENTES;TOTAL ACTIVOS CORRIENTES;;ACTIVOS;ERSA;EMPRESA;61394940.22;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;61394940.22
2016;1010172;ECUADOR;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES;;ACTIVOS;ERSA;EMPRESA;118990508;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;118990508
2017;1010173;ECUADOR;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES;;ACTIVOS;ERSA;EMPRESA;120687108;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;120687108
2018;1010174;ECUADOR;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES;;ACTIVOS;ERSA;EMPRESA;120761439;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;120761439
2020;1010176;ECUADOR;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES;;ACTIVOS;ERSA;EMPRESA;133260910;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;133260910
2016;1010193;ECUADOR;ACTIVOS TOTALES;TOTAL ACTIVOS;;ACTIVOS;ERSA;EMPRESA;153181987;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;153181987
2017;1010194;ECUADOR;ACTIVOS TOTALES;TOTAL ACTIVOS;;ACTIVOS;ERSA;EMPRESA;157565925;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;157565925
2018;1010195;ECUADOR;ACTIVOS TOTALES;TOTAL ACTIVOS;;ACTIVOS;ERSA;EMPRESA;169775748;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;169775748
